nearest_public_figure_id,econ,dipl,govt,scty,age,sex,study,work,nearest_result_id
5.0,0.0,0.0,10.0,0.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,27.0
2.0,52.5,-7.5,30.0,104.5,Between 18 and 25,M,High School,University Student,12.0
5.0,-40.0,-70.0,-137.5,-117.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,39.0
6.0,50.0,0.0,2.5,43.5,Between 46 and 55,F,Middle School,Freelance,12.0
5.0,37.5,-27.5,-90.0,-18.5,Between 18 and 25,M,Bachelor's Degree,University Student,10.0
2.0,52.5,57.5,112.5,107.0,Less than 18,M,Middle School,Student,14.0
2.0,62.5,15.0,75.0,122.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,14.0
5.0,17.5,-72.5,-162.5,-104.5,Less than 18,M,Vocational qualification,Student,24.0
5.0,12.5,-77.5,-152.5,-122.0,Less than 18,M,Vocational qualification,Student,38.0
5.0,0.0,-15.0,-20.0,20.5,Between 18 and 25,M,High School,Student,27.0
4.0,65.0,60.0,20.0,73.5,Between 36 and 45,M,Bachelor's Degree,Public Employee,12.0
2.0,70.0,15.0,82.5,104.5,Between 18 and 25,M,High School,Student,2.0
5.0,15.0,-15.0,-12.5,24.0,Between 18 and 25,M,Bachelor's Degree,University Student,27.0
5.0,10.0,-55.0,-65.0,-59.5,Less than 18,M,Vocational qualification,Student,17.0
4.0,62.5,-5.0,20.0,63.5,I'd rather not answer,N,Bachelor's Degree,University Student,12.0
2.0,80.0,77.5,145.0,149.5,Less than 18,N,I'd rather not answer,Student,1.0
5.0,-25.0,-80.0,-170.0,-134.5,Between 18 and 25,M,Bachelor's Degree,University Student,36.0
2.0,60.0,67.5,90.0,116.0,Less than 18,F,Middle School,Student,14.0
4.0,70.0,5.0,15.0,93.0,Between 56 and 65,M,Bachelor's Degree,Public Employee,12.0
2.0,75.0,90.0,67.5,93.5,Between 36 and 45,M,Bachelor's Degree,Public Employee,3.0
2.0,52.5,40.0,85.0,102.0,Between 18 and 25,M,High School,University Student,14.0
6.0,7.5,0.0,15.0,41.0,Less than 18,M,Middle School,Student,28.0
2.0,72.5,60.0,42.5,87.0,Between 36 and 45,M,Bachelor's Degree,I'd rather not answer,2.0
2.0,52.5,35.0,45.0,95.0,Between 26 and 35,F,Bachelor's Degree,Permanent Employee,21.0
2.0,52.5,82.5,60.0,84.5,Between 36 and 45,M,Bachelor's Degree,I'd rather not answer,14.0
2.0,72.5,77.5,57.5,89.5,Between 36 and 45,M,Bachelor's Degree,I'd rather not answer,2.0
5.0,-65.0,-70.0,-97.5,-124.5,Between 36 and 45,M,Bachelor's Degree,I'd rather not answer,39.0
6.0,40.0,12.5,-2.5,60.5,Less than 18,M,Middle School,Student,12.0
5.0,10.0,-90.0,-160.0,-92.0,Between 18 and 25,M,Bachelor's Degree,University Student,38.0
5.0,10.0,-90.0,-160.0,-112.0,Between 18 and 25,M,Vocational qualification,University Student,38.0
4.0,10.0,10.0,25.0,48.5,Less than 18,M,Middle School,Student,28.0
6.0,47.5,15.0,-17.5,51.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,12.0
2.0,27.5,72.5,130.0,149.5,Less than 18,M,Middle School,Student,14.0
2.0,40.0,35.0,92.5,112.0,Between 36 and 45,M,High School,Entrepreneur,14.0
5.0,15.0,-40.0,-57.5,13.0,Less than 18,M,Middle School,Student,16.0
4.0,-7.5,47.5,67.5,-1.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,28.0
5.0,-30.0,-90.0,-140.0,-52.0,Less than 18,M,Vocational qualification,University Student,38.0
5.0,45.0,5.0,-35.0,17.0,Between 18 and 25,M,Bachelor's Degree,Post-Doc,13.0
2.0,65.0,45.0,77.5,142.0,Less than 18,N,Middle School,Student,2.0
2.0,60.0,55.0,105.0,164.5,Less than 18,N,Middle School,Student,14.0
2.0,30.0,60.0,140.0,162.0,Less than 18,F,Middle School,Student,14.0
2.0,45.0,60.0,127.5,144.5,Less than 18,F,Middle School,Student,14.0
2.0,80.0,60.0,132.5,162.0,Between 18 and 25,N,High School,University Student,1.0
2.0,80.0,47.5,100.0,149.5,Between 18 and 25,M,High School,University Student,2.0
5.0,-80.0,-80.0,-160.0,-172.0,More than 65,M,Middle School,Retired,39.0
2.0,62.5,42.5,67.5,117.0,Less than 18,N,Middle School,Student,14.0
5.0,40.0,-40.0,-70.0,-6.0,Between 18 and 25,M,High School,University Student,16.0
4.0,52.5,-2.5,30.0,72.0,Between 18 and 25,M,High School,University Student,12.0
2.0,52.5,25.0,55.0,122.0,Between 26 and 35,M,Bachelor's Degree,Fixed Term Employee,22.0
5.0,-12.5,-37.5,5.0,18.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,27.0
5.0,-25.0,-40.0,-72.5,-32.0,Between 18 and 25,M,High School,University Student,30.0
5.0,-35.0,-25.0,-45.0,-37.0,Between 18 and 25,M,High School,University Student,44.0
5.0,37.5,-57.5,-82.5,-26.0,Between 36 and 45,M,First Level Master Degree,University Student,10.0
2.0,82.5,32.5,50.0,83.5,Less than 18,M,Middle School,Student,2.0
5.0,7.5,-25.0,-47.5,-15.0,Less than 18,M,I'd rather not answer,Student,27.0
5.0,65.0,-12.5,-65.0,30.5,Less than 18,M,I'd rather not answer,Student,9.0
6.0,45.0,-2.5,-5.0,48.5,Between 36 and 45,F,High School,Permanent Employee,13.0
5.0,45.0,-35.0,-57.5,18.5,Less than 18,M,Middle School,Student,9.0
2.0,72.5,10.0,30.0,97.5,Less than 18,M,Middle School,Student,12.0
2.0,62.5,60.0,77.5,127.0,Between 18 and 25,M,High School,University Student,14.0
5.0,20.0,-20.0,-2.5,3.5,Between 46 and 55,N,High School,Entrepreneur,27.0
2.0,80.0,77.5,150.0,159.5,Between 18 and 25,M,I'd rather not answer,I'd rather not answer,1.0
2.0,72.5,82.5,77.5,119.5,Between 36 and 45,M,Bachelor's Degree,I'd rather not answer,2.0
5.0,5.0,0.0,0.0,0.0,Between 36 and 45,M,Bachelor's Degree,I'd rather not answer,27.0
4.0,25.0,17.5,42.5,61.0,Less than 18,M,Middle School,Student,19.0
2.0,57.5,35.0,27.5,88.5,Less than 18,F,I'd rather not answer,Student,12.0
2.0,62.5,30.0,47.5,107.0,Less than 18,M,Middle School,Student,12.0
2.0,80.0,20.0,42.5,127.0,Less than 18,M,I'd rather not answer,Student,4.0
2.0,75.0,27.5,90.0,144.5,Less than 18,M,Middle School,Student,2.0
2.0,80.0,60.0,102.5,129.5,Less than 18,M,Middle School,Student,2.0
2.0,35.0,27.5,37.5,97.0,Less than 18,M,High School,Student,21.0
2.0,80.0,67.5,112.5,139.5,Between 18 and 25,M,High School,University Student,2.0
5.0,0.0,-47.5,-47.5,-24.5,Between 18 and 25,M,Master's Degree,Entrepreneur,17.0
2.0,12.5,50.0,70.0,122.0,Between 18 and 25,M,High School,University Student,21.0
5.0,5.0,-65.0,-160.0,-102.0,Less than 18,M,Middle School,Student,38.0
5.0,67.5,-10.0,-57.5,16.5,Between 18 and 25,M,PhD,Public Employee,9.0
6.0,-2.5,0.0,25.0,32.0,Between 36 and 45,F,Master's Degree,Entrepreneur,28.0
5.0,-60.0,-50.0,-65.0,-99.5,Between 36 and 45,F,First Level Master Degree,Fixed Term Employee,45.0
2.0,62.5,42.5,67.5,101.0,Between 26 and 35,F,Master's Degree,Permanent Employee,14.0
6.0,12.5,-2.5,12.5,40.0,Between 18 and 25,M,High School,Student,28.0
5.0,32.5,-42.5,-140.0,-64.5,Less than 18,M,Middle School,Student,37.0
5.0,32.5,-30.0,-20.0,29.0,Between 18 and 25,M,High School,University Student,16.0
4.0,72.5,37.5,5.0,90.5,Between 18 and 25,M,High School,University Student,4.0
5.0,-35.0,5.0,42.5,-12.0,Between 18 and 25,M,PhD,Permanent Employee,41.0
5.0,-50.0,-80.0,-90.0,-98.0,Between 26 and 35,M,PhD,Freelance,39.0
5.0,32.5,-15.0,-32.5,27.5,Less than 18,M,Middle School,Student,16.0
5.0,-7.5,-82.5,-125.0,-54.5,Less than 18,M,I'd rather not answer,I'd rather not answer,38.0
6.0,15.0,10.0,0.0,63.0,Between 46 and 55,M,High School,Permanent Employee,28.0
2.0,57.5,15.0,42.5,118.5,Between 26 and 35,F,Master's Degree,University Student,12.0
6.0,20.0,10.0,17.5,40.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,28.0
5.0,-10.0,-110.0,-160.0,-102.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,36.0
5.0,-50.0,-90.0,-140.0,-132.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,39.0
5.0,-70.0,-90.0,-140.0,-112.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,39.0
2.0,70.0,90.0,160.0,132.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,1.0
2.0,40.0,80.0,190.0,152.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,14.0
5.0,-25.0,-65.0,-155.0,-102.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,38.0
5.0,0.0,0.0,-2.5,-5.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,27.0
5.0,-40.0,5.0,37.5,-17.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,41.0
5.0,-30.0,10.0,27.5,-6.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,41.0
5.0,-32.5,-82.5,-132.5,-96.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,38.0
2.0,40.0,35.0,65.0,107.0,Between 18 and 25,N,High School,Student,21.0
6.0,45.0,5.0,0.0,36.0,Between 18 and 25,M,High School,Student,13.0
2.0,67.5,25.0,72.5,107.0,Between 18 and 25,M,High School,University Student,2.0
4.0,17.5,-2.5,35.0,47.0,Between 18 and 25,M,High School,University Student,28.0
4.0,52.5,12.5,15.0,60.0,Between 46 and 55,F,Master's Degree,Permanent Employee,12.0
5.0,5.0,-65.0,-155.0,-107.0,Less than 18,M,Middle School,Student,38.0
3.0,-10.0,-20.0,-40.0,72.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,27.0
5.0,-40.0,-90.0,-180.0,-132.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,36.0
6.0,55.0,10.0,-17.5,40.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,12.0
2.0,10.0,70.0,130.0,52.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,33.0
4.0,57.5,40.0,35.0,48.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,12.0
5.0,-50.0,-40.0,-50.0,-48.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,40.0
5.0,45.0,-32.5,-95.0,-17.0,Less than 18,M,Vocational qualification,Student,10.0
3.0,42.5,-27.5,-45.0,53.5,Between 26 and 35,M,Middle School,I'd rather not answer,9.0
2.0,-7.5,27.5,45.0,96.0,Between 18 and 25,M,High School,Student,19.0
2.0,-25.0,55.0,127.5,94.5,Less than 18,M,Middle School,Student,34.0
6.0,75.0,-12.5,2.5,44.5,Less than 18,M,Middle School,Student,12.0
5.0,0.0,-55.0,-102.5,-72.0,Less than 18,M,Middle School,Student,30.0
5.0,5.0,-80.0,-152.5,-132.0,Less than 18,M,Middle School,Student,38.0
5.0,0.0,-57.5,-80.0,-76.0,Less than 18,M,Middle School,Student,30.0
5.0,20.0,-45.0,-55.0,-36.0,Less than 18,M,Middle School,Student,17.0
6.0,67.5,15.0,5.0,32.0,Less than 18,F,Middle School,Student,12.0
2.0,75.0,80.0,165.0,162.0,Less than 18,F,Middle School,Student,1.0
2.0,17.5,37.5,85.0,137.0,Between 18 and 25,M,High School,Student,22.0
5.0,7.5,-35.0,-20.0,-24.0,I'd rather not answer,M,I'd rather not answer,I'd rather not answer,18.0
2.0,37.5,57.5,85.0,77.0,Between 26 and 35,M,Bachelor's Degree,Looking for employment,33.0
2.0,20.0,27.5,60.0,102.0,Less than 18,M,Middle School,Student,21.0
2.0,52.5,47.5,72.5,117.0,Between 18 and 25,M,High School,Student,14.0
4.0,77.5,-7.5,12.5,98.5,Less than 18,M,Middle School,Student,12.0
2.0,55.0,32.5,72.5,107.0,Between 18 and 25,M,High School,Student,14.0
4.0,-2.5,10.0,37.5,73.5,Between 18 and 25,M,Bachelor's Degree,Student,28.0
5.0,20.0,-70.0,-160.0,-82.0,Less than 18,M,Middle School,Student,24.0
4.0,67.5,-2.5,12.5,68.5,Between 18 and 25,M,High School,University Student,12.0
2.0,77.5,50.0,67.5,114.5,Between 18 and 25,M,High School,University Student,2.0
4.0,52.5,25.0,15.0,39.0,I'd rather not answer,M,I'd rather not answer,Student,12.0
6.0,40.0,30.0,17.5,11.0,I'd rather not answer,M,I'd rather not answer,Student,28.0
5.0,-30.0,-2.5,27.5,-12.0,I'd rather not answer,M,I'd rather not answer,I'd rather not answer,41.0
5.0,40.0,0.0,-40.0,9.5,I'd rather not answer,M,I'd rather not answer,Student,16.0
5.0,0.0,10.0,-12.5,6.0,I'd rather not answer,M,I'd rather not answer,Student,27.0
2.0,75.0,50.0,97.5,113.5,Between 18 and 25,M,High School,University Student,2.0
4.0,62.5,20.0,37.5,77.0,Between 18 and 25,M,High School,Student,12.0
2.0,65.0,55.0,102.5,114.5,Between 18 and 25,F,High School,University Student,14.0
2.0,65.0,55.0,102.5,114.5,Between 18 and 25,F,High School,University Student,14.0
5.0,12.5,-37.5,-85.0,-84.5,Between 26 and 35,M,Master's Degree,Student,17.0
2.0,55.0,35.0,50.0,107.0,Between 18 and 25,F,Bachelor's Degree,University Student,21.0
2.0,52.5,27.5,55.0,81.0,Between 46 and 55,M,PhD,Fixed Term Employee,21.0
3.0,85.0,-10.0,-57.5,55.5,Between 18 and 25,M,High School,Student,5.0
4.0,60.0,10.0,0.0,60.0,Between 18 and 25,M,Bachelor's Degree,University Student,12.0
2.0,60.0,27.5,62.5,94.5,Between 18 and 25,M,High School,Looking for employment,12.0
2.0,60.0,27.5,57.5,94.5,Between 18 and 25,M,High School,Looking for employment,12.0
2.0,60.0,40.0,70.0,112.0,Between 18 and 25,M,High School,I'd rather not answer,14.0
5.0,12.5,-22.5,-85.0,-49.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,17.0
5.0,47.5,-55.0,-137.5,-59.5,Less than 18,M,High School,Student,10.0
2.0,47.5,47.5,77.5,112.5,Less than 18,F,Middle School,Student,14.0
5.0,40.0,-55.0,-160.0,-54.5,Between 18 and 25,M,High School,Student,24.0
4.0,47.5,20.0,32.5,78.5,Less than 18,M,Middle School,Student,12.0
5.0,22.5,30.0,-5.0,-22.0,Between 36 and 45,F,Middle School,I'd rather not answer,20.0
2.0,62.5,30.0,62.5,102.0,Between 18 and 25,M,I'd rather not answer,Student,14.0
2.0,62.5,37.5,47.5,75.0,Less than 18,M,I'd rather not answer,I'd rather not answer,12.0
5.0,40.0,-65.0,-92.5,-79.5,Between 18 and 25,M,Master's Degree,University Student,17.0
2.0,67.5,17.5,42.5,89.5,Between 18 and 25,M,I'd rather not answer,Student,12.0
5.0,0.0,0.0,0.0,0.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,27.0
5.0,-70.0,-80.0,-160.0,-162.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,39.0
5.0,-10.0,-62.5,-87.5,-49.5,Between 46 and 55,M,Master's Degree,Freelance,30.0
4.0,40.0,5.0,22.5,97.0,Between 18 and 25,M,High School,Student,12.0
2.0,50.0,32.5,50.0,78.5,Between 18 and 25,F,High School,Student,21.0
2.0,52.5,32.5,55.0,93.5,Between 18 and 25,N,High School,Student,21.0
2.0,82.5,57.5,80.0,157.0,Between 18 and 25,M,Middle School,Student,2.0
5.0,27.5,-27.5,-57.5,20.5,Between 18 and 25,M,Middle School,Student,16.0
5.0,-65.0,-17.5,20.0,-15.5,Between 18 and 25,M,High School,Student,51.0
2.0,40.0,27.5,47.5,75.0,Between 18 and 25,F,High School,Student,19.0
5.0,40.0,-12.5,-35.0,8.0,Between 18 and 25,M,High School,University Student,16.0
5.0,-32.5,-22.5,15.0,16.0,Between 18 and 25,F,High School,University Student,41.0
5.0,-35.0,-75.0,-175.0,-142.0,Between 26 and 35,M,Bachelor's Degree,University Student,36.0
5.0,-50.0,-80.0,-150.0,-152.0,Between 18 and 25,M,Middle School,Student,39.0
5.0,-40.0,-80.0,-150.0,-172.0,Between 26 and 35,M,Vocational qualification,Looking for employment,36.0
2.0,40.0,2.5,25.0,112.0,Between 18 and 25,M,High School,University Student,12.0
4.0,65.0,10.0,-2.5,78.5,Between 18 and 25,M,High School,University Student,12.0
6.0,55.0,-15.0,20.0,44.5,Between 18 and 25,M,High School,Student,12.0
2.0,62.5,60.0,100.0,142.0,Between 18 and 25,M,High School,University Student,14.0
2.0,37.5,12.5,67.5,94.5,Between 18 and 25,M,Vocational qualification,Fixed Term Employee,19.0
4.0,12.5,12.5,37.5,61.0,Between 18 and 25,M,High School,University Student,28.0
2.0,80.0,80.0,155.0,132.0,Between 26 and 35,F,Bachelor's Degree,I'd rather not answer,1.0
2.0,52.5,45.0,55.0,76.5,Between 18 and 25,F,Middle School,Student,21.0
4.0,-10.0,-30.0,20.0,68.5,Between 18 and 25,M,High School,University Student,27.0
4.0,0.0,10.0,42.5,31.0,Between 18 and 25,M,High School,Student,28.0
4.0,-2.5,5.0,35.0,62.0,Between 18 and 25,M,High School,University Student,28.0
4.0,-7.5,-15.0,27.5,74.5,Between 18 and 25,M,High School,University Student,28.0
2.0,35.0,22.5,55.0,109.5,Between 18 and 25,M,High School,University Student,21.0
4.0,32.5,7.5,15.0,81.0,Between 18 and 25,F,High School,Student,19.0
4.0,57.5,5.0,25.0,56.0,Between 18 and 25,M,Middle School,Student,12.0
2.0,50.0,45.0,95.0,118.5,Between 18 and 25,M,High School,Student,14.0
2.0,72.5,70.0,137.5,124.5,Between 18 and 25,F,High School,Student,2.0
4.0,90.0,20.0,-35.0,117.0,Between 18 and 25,M,High School,Fixed Term Employee,4.0
5.0,32.5,-20.0,-27.5,28.5,Between 18 and 25,M,High School,Student,16.0
2.0,40.0,20.0,32.5,98.5,Between 18 and 25,M,High School,University Student,19.0
2.0,47.5,27.5,52.5,109.5,Between 18 and 25,F,High School,Student,21.0
2.0,-25.0,22.5,105.0,107.0,Between 18 and 25,M,High School,Student,34.0
2.0,65.0,40.0,62.5,113.5,Less than 18,M,High School,Student,14.0
5.0,35.0,0.0,-40.0,9.5,More than 65,M,PhD,Entrepreneur,16.0
5.0,-35.0,0.0,40.0,-12.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,41.0
2.0,80.0,72.5,72.5,87.5,Between 18 and 25,F,Middle School,Student,2.0
4.0,-5.0,17.5,60.0,73.5,Less than 18,M,Middle School,Student,28.0
5.0,-10.0,-35.0,-65.0,-37.0,Less than 18,M,Middle School,Student,30.0
2.0,17.5,75.0,115.0,117.0,Between 26 and 35,M,Master's Degree,Permanent Employee,33.0
5.0,65.0,-12.5,-35.0,21.5,Between 18 and 25,M,High School,University Student,13.0
3.0,52.5,10.0,-27.5,26.5,Between 18 and 25,M,Master's Degree,University Student,13.0
2.0,80.0,47.5,87.5,122.0,Between 36 and 45,M,Bachelor's Degree,Looking for employment,2.0
6.0,50.0,-17.5,12.5,49.5,Between 18 and 25,M,High School,Student,13.0
2.0,42.5,42.5,45.0,115.0,Less than 18,M,High School,Student,21.0
2.0,67.5,22.5,80.0,106.0,Between 18 and 25,M,High School,Student,14.0
5.0,-2.5,-62.5,-60.0,8.0,Between 18 and 25,M,High School,Student,37.0
2.0,52.5,27.5,52.5,92.0,Between 18 and 25,M,High School,Permanent Employee,21.0
2.0,52.5,37.5,97.5,77.0,Between 26 and 35,M,High School,Permanent Employee,14.0
4.0,32.5,17.5,20.0,84.5,Between 18 and 25,M,High School,University Student,19.0
2.0,80.0,60.0,92.5,127.0,Between 26 and 35,M,High School,Permanent Employee,2.0
2.0,30.0,105.0,150.0,167.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,14.0
4.0,45.0,15.0,20.0,78.5,Between 18 and 25,M,High School,Student,12.0
5.0,10.0,-70.0,-120.0,-62.0,I'd rather not answer,M,I'd rather not answer,I'd rather not answer,37.0
2.0,65.0,25.0,72.5,123.5,Between 18 and 25,M,I'd rather not answer,Student,14.0
2.0,30.0,-12.5,25.0,120.0,Between 18 and 25,M,Middle School,Student,19.0
2.0,40.0,25.0,60.0,77.0,Between 18 and 25,M,High School,Student,21.0
4.0,47.5,15.0,52.5,49.0,Less than 18,F,Middle School,Student,19.0
5.0,5.0,-40.0,-55.0,10.5,Less than 18,F,Middle School,Student,16.0
6.0,42.5,5.0,5.0,50.5,Between 26 and 35,F,Middle School,Looking for employment,12.0
4.0,62.5,20.0,15.0,78.5,Between 26 and 35,M,Master's Degree,University Student,12.0
5.0,65.0,20.0,-12.5,-2.0,Between 18 and 25,M,Middle School,Student,13.0
2.0,80.0,80.0,170.0,172.0,Between 18 and 25,N,High School,Student,1.0
5.0,35.0,-47.5,-132.5,-69.5,Less than 18,M,Middle School,Student,37.0
5.0,32.5,-32.5,-90.0,-22.0,Less than 18,M,Vocational qualification,Student,10.0
5.0,55.0,-32.5,-27.5,0.5,Less than 18,M,High School,Student,13.0
5.0,12.5,-57.5,-147.5,-84.5,Between 18 and 25,M,Master's Degree,University Student,24.0
5.0,42.5,2.5,-30.0,-36.5,Less than 18,M,I'd rather not answer,I'd rather not answer,20.0
5.0,35.0,-35.0,-105.0,-64.5,Between 18 and 25,M,I'd rather not answer,Student,17.0
5.0,65.0,-20.0,-47.5,12.5,Less than 18,M,Middle School,Student,9.0
5.0,30.0,-55.0,-122.5,-52.0,Between 18 and 25,M,High School,University Student,37.0
5.0,-50.0,30.0,20.0,-3.0,Between 26 and 35,N,I'd rather not answer,I'd rather not answer,41.0
5.0,-60.0,-7.5,30.0,6.0,Less than 18,M,Vocational qualification,University Student,41.0
5.0,40.0,-90.0,-180.0,-102.0,Less than 18,M,Middle School,Student,24.0
5.0,27.5,-80.0,-190.0,-127.0,Less than 18,M,Middle School,Student,24.0
5.0,47.5,-60.0,-170.0,-107.0,Less than 18,M,Middle School,Student,24.0
5.0,20.0,-80.0,-170.0,-147.0,Less than 18,M,Middle School,Student,38.0
5.0,25.0,-30.0,-117.5,-77.0,Less than 18,M,Middle School,Student,17.0
2.0,25.0,65.0,90.0,132.0,Less than 18,M,Middle School,Student,22.0
5.0,-35.0,-55.0,-67.5,-39.5,Between 18 and 25,M,High School,University Student,30.0
4.0,10.0,22.5,55.0,48.5,Between 18 and 25,M,Bachelor's Degree,University Student,28.0
2.0,2.5,17.5,90.0,77.0,Less than 18,M,High School,Student,33.0
4.0,-5.0,5.0,50.0,41.0,Between 26 and 35,M,Middle School,Retired,28.0
5.0,27.5,-50.0,-50.0,-4.0,Between 18 and 25,M,High School,University Student,16.0
2.0,12.5,72.5,142.5,132.0,Between 18 and 25,M,High School,University Student,14.0
4.0,52.5,17.5,42.5,74.5,Between 36 and 45,F,Middle School,Freelance,12.0
5.0,-30.0,-80.0,-170.0,-152.0,Between 18 and 25,M,High School,University Student,36.0
2.0,32.5,25.0,47.5,82.0,Less than 18,M,Middle School,Student,19.0
4.0,5.0,-7.5,45.0,62.0,Less than 18,M,High School,Student,28.0
4.0,2.5,7.5,35.0,32.0,Less than 18,M,High School,Student,28.0
5.0,22.5,-55.0,-60.0,-12.5,Less than 18,M,High School,Student,37.0
4.0,0.0,2.5,70.0,62.0,Less than 18,M,High School,Student,28.0
4.0,50.0,0.0,47.5,52.0,Between 18 and 25,M,High School,Student,12.0
2.0,67.5,10.0,32.5,101.0,Less than 18,M,High School,Student,12.0
5.0,0.0,0.0,0.0,0.0,Less than 18,M,High School,Student,27.0
4.0,42.5,0.0,50.0,67.0,Less than 18,M,Middle School,Student,19.0
2.0,62.5,35.0,62.5,117.0,Between 18 and 25,N,High School,Looking for employment,14.0
2.0,37.5,12.5,42.5,83.5,Between 18 and 25,M,High School,University Student,19.0
2.0,65.0,40.0,85.0,102.0,Between 18 and 25,M,High School,University Student,14.0
2.0,72.5,22.5,50.0,117.0,Between 18 and 25,M,High School,University Student,2.0
5.0,-25.0,0.0,0.0,6.5,Between 18 and 25,M,High School,University Student,27.0
2.0,72.5,30.0,45.0,114.5,Less than 18,M,High School,Student,2.0
2.0,60.0,65.0,122.5,154.5,Between 18 and 25,M,Bachelor's Degree,University Student,14.0
2.0,62.5,27.5,32.5,109.5,Between 18 and 25,M,High School,University Student,12.0
2.0,65.0,75.0,90.0,119.5,Between 18 and 25,M,High School,University Student,14.0
2.0,47.5,47.5,72.5,92.0,Between 18 and 25,M,High School,University Student,14.0
2.0,82.5,25.0,62.5,119.5,Between 18 and 25,F,High School,University Student,2.0
2.0,55.0,27.5,77.5,119.5,Between 18 and 25,F,High School,University Student,14.0
2.0,62.5,72.5,75.0,115.0,Less than 18,M,Middle School,Student,14.0
4.0,32.5,7.5,65.0,42.0,Between 18 and 25,M,High School,University Student,19.0
5.0,67.5,-37.5,-70.0,-6.0,Less than 18,M,Middle School,Student,9.0
4.0,57.5,5.0,32.5,57.0,Between 18 and 25,M,High School,University Student,12.0
2.0,72.5,50.0,85.0,117.0,Between 18 and 25,F,Bachelor's Degree,University Student,2.0
2.0,70.0,35.0,80.0,112.0,Between 18 and 25,M,Bachelor's Degree,University Student,2.0
4.0,72.5,20.0,27.5,83.5,Between 18 and 25,M,High School,University Student,12.0
2.0,7.5,37.5,112.5,107.0,Between 18 and 25,M,High School,University Student,33.0
5.0,15.0,0.0,-60.0,-34.5,Less than 18,M,I'd rather not answer,Student,20.0
4.0,60.0,27.5,27.5,41.0,Less than 18,M,High School,Student,12.0
2.0,-25.0,65.0,127.5,127.0,Between 36 and 45,M,Master's Degree,Freelance,33.0
2.0,40.0,25.0,27.5,111.0,Less than 18,M,Middle School,Student,21.0
5.0,65.0,-2.5,-57.5,28.5,Between 18 and 25,M,High School,Student,9.0
5.0,-90.0,-90.0,-120.0,-147.0,More than 65,M,Middle School,Retired,39.0
4.0,67.5,45.0,20.0,63.5,Between 46 and 55,F,Bachelor's Degree,Freelance,12.0
2.0,60.0,30.0,35.0,107.0,More than 65,M,High School,Entrepreneur,12.0
6.0,45.0,-27.5,-10.0,53.5,Between 18 and 25,M,I'd rather not answer,I'd rather not answer,13.0
5.0,50.0,-27.5,-97.5,-19.5,Between 18 and 25,M,I'd rather not answer,I'd rather not answer,10.0
6.0,45.0,-2.5,-5.0,62.5,Between 18 and 25,M,High School,University Student,12.0
5.0,27.5,-5.0,-5.0,-51.0,Between 26 and 35,M,High School,Permanent Employee,20.0
4.0,62.5,-7.5,12.5,108.5,Between 18 and 25,N,High School,University Student,12.0
2.0,10.0,37.5,122.5,107.0,Between 18 and 25,M,High School,University Student,33.0
2.0,45.0,27.5,52.5,103.5,Less than 18,F,Middle School,Student,21.0
2.0,57.5,32.5,42.5,107.5,Less than 18,M,Middle School,Student,12.0
2.0,35.0,25.0,32.5,106.0,Less than 18,F,Middle School,Student,19.0
3.0,60.0,-30.0,-70.0,68.0,Less than 18,M,High School,Student,9.0
3.0,42.5,17.5,-20.0,23.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,13.0
2.0,72.5,40.0,62.5,127.0,Between 18 and 25,M,Bachelor's Degree,University Student,2.0
2.0,82.5,42.5,92.5,149.5,Between 18 and 25,M,High School,Student,2.0
2.0,60.0,47.5,82.5,132.0,Between 18 and 25,M,High School,Student,14.0
5.0,-70.0,-75.0,-120.0,-122.0,Between 56 and 65,M,Middle School,Freelance,39.0
6.0,42.5,7.5,-2.5,41.0,More than 65,M,Master's Degree,Retired,12.0
